source_id,name,food_group,energy_kcal,protein_g,fat_g,carb_g,fiber_g
A001,"Amaranth seed, black",Cereals and Millets,356.1,14.59,5.74,59.98,7.02
A002,"Amaranth seed, pale brown",Cereals and Millets,355.9,13.27,5.56,61.46,7.47
A003,Bajra,Cereals and Millets,348.0,10.96,5.43,61.78,11.49
A004,Barley,Cereals and Millets,315.7,10.94,1.3,61.29,15.64
A005,Jowar,Cereals and Millets,334.1,9.97,1.73,67.68,10.22
A006,"Maize, dry",Cereals and Millets,334.1,8.8,3.77,64.77,12.24
A007,"Maize, tender, local",Cereals and Millets,120.0,3.57,1.4,22.69,3.67
A008,"Maize, tender, sweet",Cereals and Millets,96.8,4.16,1.35,16.42,3.3
A009,Quinoa,Cereals and Millets,328.4,13.11,5.5,53.65,14.66
A010,Ragi,Cereals and Millets,320.7,7.16,1.92,66.82,11.18
A011,Rice flakes,Cereals and Millets,353.7,7.44,1.14,76.75,3.46
A012,Rice puffed,Cereals and Millets,361.9,7.47,1.62,77.68,2.56
A013,"Rice, raw, brown",Cereals and Millets,353.7,9.16,1.24,74.8,4.43
A014,"Rice, parboiled, milled",Cereals and Millets,351.6,7.81,0.55,77.16,3.74
A015,"Rice, raw, milled",Cereals and Millets,356.4,7.94,0.52,78.24,2.81
A016,Samai,Cereals and Millets,346.3,10.13,3.89,65.55,7.72
A017,Varagu,Cereals and Millets,331.7,8.92,2.55,66.19,6.39
A018,"Wheat flour, refined",Cereals and Millets,351.8,10.36,0.76,74.27,2.76
A019,"Wheat flour, atta",Cereals and Millets,320.3,10.57,1.53,64.17,11.36
A020,"Wheat, whole",Cereals and Millets,321.9,10.59,1.47,64.72,11.23
A021,"Wheat, bulgur",Cereals and Millets,341.8,10.84,1.45,69.06,8.81
A022,"Wheat, semolina",Cereals and Millets,333.7,11.38,0.74,68.43,9.72
A023,"Wheat, vermicelli",Cereals and Millets,332.7,9.7,0.45,70.39,9.28
A024,"Wheat, vermicelli, roasted",Cereals and Millets,340.1,10.37,0.49,71.42,9.55
B001,"Bengal gram, dal",Grain Legumes,329.1,21.55,5.31,46.72,15.15
B002,"Bengal gram, whole",Grain Legumes,287.0,18.77,5.11,39.56,25.22
B003,"Black gram, dal",Grain Legumes,324.1,23.06,1.69,51.0,11.93
B004,"Black gram, whole",Grain Legumes,291.3,21.97,1.58,43.99,20.41
B005,"Cowpea, brown",Grain Legumes,320.3,20.36,1.15,54.62,11.54
B006,"Cowpea, white",Grain Legumes,320.3,21.25,1.14,53.77,11.7
B007,"Field bean, black",Grain Legumes,276.1,19.93,0.92,43.46,23.4
B008,"Field bean, brown",Grain Legumes,283.0,19.9,0.98,45.24,22.4
B009,"Field bean, white",Grain Legumes,280.4,19.84,0.94,44.53,22.99
B010,"Green gram, dal",Grain Legumes,325.8,23.88,1.35,52.59,9.37
B011,"Green gram, whole",Grain Legumes,293.7,22.53,1.14,46.13,17.04
B012,"Horse gram, whole",Grain Legumes,329.6,21.73,0.62,57.24,7.88
B013,Lentil dal,Grain Legumes,322.4,24.35,0.75,52.53,10.43
B014,"Lentil whole, brown",Grain Legumes,299.0,22.49,0.64,48.47,16.82
B015,"Lentil whole, yellowish",Grain Legumes,297.8,22.87,0.61,47.91,16.66
B016,Moth bean,Grain Legumes,308.6,19.75,1.76,52.09,15.12
B017,"Peas, dry",Grain Legumes,303.3,20.43,1.89,48.93,17.01
B018,"Rajmah, black",Grain Legumes,298.0,19.01,1.62,49.59,17.74
B019,"Rajmah, brown",Grain Legumes,297.6,19.5,1.68,48.83,16.95
B020,"Rajmah, red",Grain Legumes,299.2,19.91,1.77,48.61,16.57
B021,"Red gram, dal",Grain Legumes,330.8,21.7,1.56,55.23,9.06
B022,"Red gram, whole",Grain Legumes,273.9,20.47,1.38,42.48,22.84
B023,Ricebean,Grain Legumes,302.3,19.97,0.74,51.26,13.37
B024,"Soya bean, brown",Grain Legumes,381.5,35.58,19.82,12.79,21.55
B025,"Soya bean, white",Grain Legumes,377.4,37.8,19.42,10.16,22.63
C001,Agathi leaves,Green Leafy Vegetables,70.5,8.01,1.35,5.21,8.6
C002,"Amaranth leaves, green",Green Leafy Vegetables,30.6,3.29,0.65,2.28,4.41
C003,"Amaranth leaves, red mix",Green Leafy Vegetables,33.5,3.93,0.63,2.37,4.91
C004,"Amaranth leaves, red and green mix",Green Leafy Vegetables,31.5,3.09,0.53,2.87,4.6
C005,"Amaranth spinosus, leaves, green mix",Green Leafy Vegetables,26.3,3.54,0.36,1.61,5.1
C006,"Amaranth spinosus, leaves, red and green mix",Green Leafy Vegetables,23.7,2.8,0.34,1.45,5.57
C007,Basella leaves,Green Leafy Vegetables,19.6,1.57,0.45,2.01,2.21
C008,Bathua leaves,Green Leafy Vegetables,27.7,2.5,0.44,2.56,4.01
C009,Beet greens,Green Leafy Vegetables,34.7,2.38,0.75,3.86,3.64
C010,"Betel leaves, big (kolkata)",Green Leafy Vegetables,48.3,2.51,0.75,7.37,2.12
C011,"Betel leaves, small",Green Leafy Vegetables,43.7,2.62,0.75,6.16,1.97
C012,Brussels sprouts,Green Leafy Vegetables,44.2,4.26,0.5,5.09,4.29
C013,"Cabbage, Chinese",Green Leafy Vegetables,17.9,1.58,0.13,2.36,2.01
C014,"Cabbage, collard greens",Green Leafy Vegetables,30.1,3.63,0.27,2.79,2.98
C015,"Cabbage, green",Green Leafy Vegetables,21.5,1.36,0.12,3.25,2.76
C016,"Cabbage, violet",Green Leafy Vegetables,23.2,1.39,0.21,3.54,2.21
C017,Cauliflower leaves,Green Leafy Vegetables,35.4,3.9,0.42,3.39,3.43
C018,"Colocasia leaves, green",Green Leafy Vegetables,43.5,3.42,1.38,3.69,5.6
C019,Drumstick leaves,Green Leafy Vegetables,67.4,6.41,1.64,5.62,8.21
C020,Fenugreek leaves,Green Leafy Vegetables,34.4,3.68,0.83,2.17,4.9
C021,Garden cress,Green Leafy Vegetables,49.7,5.62,0.8,4.48,2.6
